item_code,item_name,tin_size
2KN-H200-4,White,4
CG-H200-4,White,4
2KN-H201,Yellowish Black,4
CG-H201-4,Yellowish Black,4
2KN-H202-4,Bluish black,4
CG-H202-4,Bluish black,4
2KN-H203,Bright Red,
CG-H203,Bright Red,4
2KN-H204,Vibrant Red,1
2KN-H205,brown Red,1
2KN-H206,Peach,1
2KN-H207,Purplish Red,1
2KN-H208,Brick Red,1
2KN-H209,Orange Red,1
CG-H209,Orange Red,1
CG-H209-4,Orange Red,4
2KN-H210,Lemon Yellow,1
CG-H210,Lemon Yellow,1
2KN-H211,Light Yellow,1
2KN-H212,Medium Yellow,1
2KN-H214,Mud Yellow,1
2KN-H215,Bluish Green,1
CG-H215,Bluish Green,1
2KN-H216,Yellowish Green,1
2KN-H218,Universal Blue,1
2KN-H219,Standard Blue,1
CG-H219,Standard Blue,1
2KN-H220,Iron Oxide Blue,
2KN-H221,Violet,1
2KN-H222,Brightener,
2KN-H223,Mixing Black,4
2KN-H224,Brilliant Yellow,1
2KN-H227,Puplish Red,1
1KN-H100,White,4
1KN-H100A,White,4
CG-H100A,White,4
1KN-H101-4,Transparent White,4
1KN-H101,Transparent White,1
CG-H101,Transparent White,1
1KN-H102,Yellowish Black,4
CG-H102,Yellowish Black,4
CG-H103,Mixed Black,4
1KN-H103,Mixed Black,4
1KN-H104,Bluish black,4
CG-H104,Bluish black,4
1KN-H105,Bright Red,1
CG-H105,Bright Red,1
1KN-H106,Maroon Red,1
CG-H106,Maroon Red,1
1KN-H107,Jujube Red,1
CG-H107,Jujube Red,1
1KN-H108,Peach,1
CG-H108,Peach,1
1KN-H109,Purplish Red,1
CG-H109,Purplish Red,1
1KN-H110,Transoxide Red,1
CG-H110,Transoxide Red,1
1KN-H111,Transparent Orange,1
CG-H111,Transparent Orange,1
1KN-H112,Transparent Yellow,1
CG-H112,Transparent Yellow,1
1KN-H113,Transoxide Yellow,1
CG-H113,Transoxide Yellow,1
1KN-H114,Bluish Green,1
1KN-H115,Yellowish Green,1
1KN-H116,Universal Blue,1
1KN-H117,standard Blue,1
CG-H117,Transparent orchid,1
1KN-H117A,standard Blue,1
1KN-H118,Crystal Blue,1
1KN-H119,Purplish Blue,1
1KN-H120,Violet,1
CG-H120,Violet,1
1KN-H121,Lemon Yellow,1
1KN-H122,Mustard Green,1
1KN-H123,Mussels Blue,1
CG-H123,Mussels Blue,1
1KN-H125,Control Agent,4
CG-H125,Control Agent,5
1KN-H126,Silver Control Agent,1
1KN-H127,Transparent Bright Red,1
1KN-H128,Extra Black,4
CG-H128,Extra Black,4
1KN-H55,Mud Yellow,1
1KN-HS10,Extra Fine Silver,4
CG-HS10,Extra Fine Silver,4
1KN-HS11,Fine Silver,4
CG-HS11,Fine Silver,4
1KN-HS12,Fine Twinkling Silver,4
CG-HS12,Fine Twinkling Silver,4
1KN-H713A,Moderate White Silver,4
CG-HS713,Moderate White Silver,4
1KN-HS13,Moderate Silver,4
CG-HS13,Moderate Silver,4
1KN-HS14,Moderate Coarse Silver,4
1KN-HS15,Moderate Twinkling Silver,4
CG-HS15,Moderate Twinkling Silver,4
1KN-HS16,Coarse Silver,4
CG-HS16,Coarse Silver,4
1KN-HS17,Coarse Twinkling Silver,4
1KN-HS18,Extra Coarse Silver,4
1KN-HS19,Fine White Silver,4
CG-HS19,Fine White Silver,1
1KN-HP00,White Pearl,1
CG-HP00,White Pearl,1
1KN-HP01,Fine White Pearl,1
CG-HP01,Fine White Pearl,1
1KN-HP02,Red Pearl,1
1KN-HP03,Fine Red Pearl,1
1KN-HP04,Yellow Pearl,1
1KN-HP05,Gold Pearl,1
CG-HP05,Gold Pearl,1
1KN-HP07,Green Pearl,1
1KN-HP07S,Fine Green Pearl,1
1KN-HP08,Blue Pearl,1
CG-HP08,Blue Pearl,1
1KN-HP09,Fine Blue Pearl,1
CG-HP09,Fine Blue Pearl,1
1KN-HP10,Violet Pearl,1
CG-HP10,Violet Pearl,1
1KN-HP11,Coarse White Pearl,1
CG-HP11,Coarse White Pearl,1
1KN-HP12,Bronze Pearl,1
CG-HP12,Bronze Pearl,1
1KN-HP13,Interface Red Pearl,1
1KN-HP14,Extra White Pearl,
1K,Primer,1
2KC-H560,Clear Coat,1
2KC-H560-5,Clear Coat,5
CG-H560,Clear Coat,1
CG-H560-5,Clear Coat,5
Suzuki OFT,Ready made,1
Suzuki OFT-4,Ready made,4
SUZUKI OVP-1,Ready made,1
Suzuki OVP,Ready made,4
Toyota 183,Ready made,1
Toyota 199,Ready made,1
Toyota 199-4,Ready made,4
Toyota 202,Ready made,1
Toyota 202-4,Ready made,4
Toyota 205,Ready made,1
Toyota 205-4,Ready made,4
Toyota 209,Ready made,1
Toyota 209-4,Ready made,4
Toyota 211,Ready made,4
Toyota 218,Ready made,1
Toyota 218-4,Ready made,4
Toyota 761,Ready made,1
Tayota 777,Ready made,1
TOYOTA 1A5,Ready made,1
TOYOTA 057,Ready made,1
Toyota 1C0,Ready made,4
Toyota 1D4,Ready made,1
Toyota 1D4-4,Ready made,4
Toyota 1D9,Ready made,1
Toyota 1D9-4,Ready made,4
Toyota 1E3,Ready made,1
Toyota 1E3-4,Ready made,4
Toyota 1E7,Ready made,1
Toyota 1E7-4,Ready made,4
Toyota 1E9,Ready made,1
Toyota 1E9-4,Ready made,4
Toyota 1F7,Ready made,1
Toyota 1F7-4,Ready made,4
Toyota 1G2,Ready made,1
Toyota 1G2-4,Ready made,4
Toyota 1G3,Ready made,1
